Notes,Age,Age Code,Vaccine Type,Vaccine Type Code,Sex,Sex Code,Events Reported,Percent
Total,65+ years,65+,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,,,3,0.00%
,65+ years,65+,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Female,F,114,0.02%
,65+ years,65+,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Male,M,23,0.00%
,65+ years,65+,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Unknown,U,2,0.00%
Total,65+ years,65+,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,,,139,0.02%
,65+ years,65+,DIPHTHERIA TOXOID,DTOX,Female,F,5,0.00%
,65+ years,65+,DIPHTHERIA TOXOID,DTOX,Male,M,3,0.00%
,65+ years,65+,DIPHTHERIA TOXOID,DTOX,Unknown,U,1,0.00%
Total,65+ years,65+,DIPHTHERIA TOXOID,DTOX,,,9,0.00%
,65+ years,65+,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Female,F,3,0.00%
,65+ years,65+,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Male,M,1,0.00%
Total,65+ years,65+,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,,,4,0.00%
,65+ years,65+,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,Male,M,1,0.00%
Total,65+ years,65+,DTP-IPV COMBINED DTP AND IPV VACCINE,DTPIPV,,,1,0.00%
,65+ years,65+,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Female,F,19,0.00%
,65+ years,65+,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Male,M,18,0.00%
,65+ years,65+,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Unknown,U,1,0.00%
Total,65+ years,65+,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,,,38,0.01%
,65+ years,65+,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Female,F,2,0.00%
Total,65+ years,65+,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,,,2,0.00%
,65+ years,65+,HEPATITIS A,HEPA,Female,F,266,0.04%
,65+ years,65+,HEPATITIS A,HEPA,Male,M,172,0.03%
,65+ years,65+,HEPATITIS A,HEPA,Unknown,U,6,0.00%
Total,65+ years,65+,HEPATITIS A,HEPA,,,444,0.07%
,65+ years,65+,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Female,F,95,0.01%
,65+ years,65+,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Male,M,73,0.01%
,65+ years,65+,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Unknown,U,2,0.00%
Total,65+ years,65+,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,,,170,0.03%
,65+ years,65+,HEPATITIS A AND TYPHOID VACCINES,HEPATYP,Male,M,1,0.00%
Total,65+ years,65+,HEPATITIS A AND TYPHOID VACCINES,HEPATYP,,,1,0.00%
,65+ years,65+,HEPATITIS B VACCINE,HEP,Female,F,339,0.05%
,65+ years,65+,HEPATITIS B VACCINE,HEP,Male,M,231,0.03%
,65+ years,65+,HEPATITIS B VACCINE,HEP,Unknown,U,21,0.00%
Total,65+ years,65+,HEPATITIS B VACCINE,HEP,,,591,0.09%
,65+ years,65+,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Female,F,13,0.00%
,65+ years,65+,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Male,M,8,0.00%
,65+ years,65+,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Unknown,U,2,0.00%
Total,65+ years,65+,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,,,23,0.00%
,65+ years,65+,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Female,F,8,0.00%
,65+ years,65+,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Male,M,1,0.00%
,65+ years,65+,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Unknown,U,3,0.00%
Total,65+ years,65+,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,,,12,0.00%
,65+ years,65+,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Female,F,1,0.00%
,65+ years,65+,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Male,M,1,0.00%
Total,65+ years,65+,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,,,2,0.00%
,65+ years,65+,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Female,F,390,0.06%
,65+ years,65+,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Male,M,253,0.04%
,65+ years,65+,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Unknown,U,11,0.00%
Total,65+ years,65+,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),,,654,0.10%
,65+ years,65+,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Female,F,27,0.00%
,65+ years,65+,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Male,M,16,0.00%
Total,65+ years,65+,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),,,43,0.01%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Female,F,2094,0.31%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Male,M,1163,0.17%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Unknown,U,56,0.01%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),,,3313,0.49%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Female,F,1189,0.18%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Male,M,553,0.08%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Unknown,U,22,0.00%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),,,1764,0.26%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Female,F,14,0.00%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Male,M,15,0.00%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Unknown,U,1,0.00%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),,,30,0.00%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Female,F,154,0.02%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Male,M,99,0.01%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Unknown,U,19,0.00%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),,,272,0.04%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Female,F,86,0.01%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Male,M,43,0.01%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Unknown,U,1,0.00%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),,,130,0.02%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Female,F,19276,2.84%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Male,M,8038,1.19%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Unknown,U,501,0.07%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),,,27815,4.10%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),Female,F,28,0.00%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),Male,M,14,0.00%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),Unknown,U,4,0.00%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY)",FLUN3(SEASONAL),,,46,0.01%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)",FLUA3(SEASONAL),Female,F,1153,0.17%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)",FLUA3(SEASONAL),Male,M,538,0.08%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)",FLUA3(SEASONAL),Unknown,U,46,0.01%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, ADJUVANT (INJECTED)",FLUA3(SEASONAL),,,1737,0.26%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC3(SEASONAL),Female,F,41,0.01%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC3(SEASONAL),Male,M,34,0.01%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC3(SEASONAL),Unknown,U,1,0.00%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC3(SEASONAL),,,76,0.01%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, RECOMBINANT (INJECTED)",FLUR3(SEASONAL),Female,F,22,0.00%
,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, RECOMBINANT (INJECTED)",FLUR3(SEASONAL),Male,M,7,0.00%
Total,65+ years,65+,"INFLUENZA VIRUS VACCINE, TRIVALENT, RECOMBINANT (INJECTED)",FLUR3(SEASONAL),,,29,0.00%
,65+ years,65+,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),Female,F,83,0.01%
,65+ years,65+,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),Male,M,60,0.01%
,65+ years,65+,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),Unknown,U,8,0.00%
Total,65+ years,65+,"INFLUENZA(H1N1) MONOVALENT, UNKNOWN MANUFACTURER",FLUX(H1N1),,,151,0.02%
,65+ years,65+,JAPANESE ENCEPHALITIS VIRUS VACCINE,JEV,Female,F,6,0.00%
,65+ years,65+,JAPANESE ENCEPHALITIS VIRUS VACCINE,JEV,Male,M,3,0.00%
Total,65+ years,65+,JAPANESE ENCEPHALITIS VIRUS VACCINE,JEV,,,9,0.00%
,65+ years,65+,JAPANESE ENCEPHALITIS VIRUS VACCINE (NO BRAND NAME),JEVX,Female,F,2,0.00%
,65+ years,65+,JAPANESE ENCEPHALITIS VIRUS VACCINE (NO BRAND NAME),JEVX,Male,M,1,0.00%
Total,65+ years,65+,JAPANESE ENCEPHALITIS VIRUS VACCINE (NO BRAND NAME),JEVX,,,3,0.00%
,65+ years,65+,"JAPANESE ENCEPHALITIS VIRUS VACCINE, INACTIVATED, ADSORBED",JEV1,Female,F,4,0.00%
Total,65+ years,65+,"JAPANESE ENCEPHALITIS VIRUS VACCINE, INACTIVATED, ADSORBED",JEV1,,,4,0.00%
,65+ years,65+,LYME VACCINE (LYMERIX),LYME,Female,F,63,0.01%
,65+ years,65+,LYME VACCINE (LYMERIX),LYME,Male,M,116,0.02%
,65+ years,65+,LYME VACCINE (LYMERIX),LYME,Unknown,U,1,0.00%
Total,65+ years,65+,LYME VACCINE (LYMERIX),LYME,,,180,0.03%
,65+ years,65+,"MEASLES AND MUMPS VIRUS VACCINE, LIVE",MM,Female,F,1,0.00%
Total,65+ years,65+,"MEASLES AND MUMPS VIRUS VACCINE, LIVE",MM,,,1,0.00%
,65+ years,65+,MEASLES AND RUBELLA VACCINE,MER,Female,F,1,0.00%
Total,65+ years,65+,MEASLES AND RUBELLA VACCINE,MER,,,1,0.00%
,65+ years,65+,MEASLES VACCINE,MEA,Female,F,9,0.00%
Total,65+ years,65+,MEASLES VACCINE,MEA,,,9,0.00%
,65+ years,65+,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Female,F,94,0.01%
,65+ years,65+,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Male,M,32,0.00%
,65+ years,65+,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Unknown,U,3,0.00%
Total,65+ years,65+,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,,,129,0.02%
,65+ years,65+,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Female,F,10,0.00%
,65+ years,65+,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Male,M,4,0.00%
,65+ years,65+,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Unknown,U,5,0.00%
Total,65+ years,65+,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,,,19,0.00%
,65+ years,65+,MENINGOCOCCAL B VACCINE,MENB,Female,F,8,0.00%
,65+ years,65+,MENINGOCOCCAL B VACCINE,MENB,Male,M,8,0.00%
Total,65+ years,65+,MENINGOCOCCAL B VACCINE,MENB,,,16,0.00%
,65+ years,65+,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Female,F,21,0.00%
,65+ years,65+,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Male,M,14,0.00%
Total,65+ years,65+,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,,,35,0.01%
,65+ years,65+,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Female,F,44,0.01%
,65+ years,65+,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Male,M,38,0.01%
,65+ years,65+,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Unknown,U,3,0.00%
Total,65+ years,65+,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,,,85,0.01%
,65+ years,65+,"MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MUR,Male,M,1,0.00%
Total,65+ years,65+,"MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MUR,,,1,0.00%
,65+ years,65+,"MUMPS VIRUS VACCINE, LIVE",MU,Female,F,1,0.00%
Total,65+ years,65+,"MUMPS VIRUS VACCINE, LIVE",MU,,,1,0.00%
,65+ years,65+,"PERTUSSIS, ADSORBED VACCINE",PER,Female,F,5,0.00%
,65+ years,65+,"PERTUSSIS, ADSORBED VACCINE",PER,Male,M,6,0.00%
Total,65+ years,65+,"PERTUSSIS, ADSORBED VACCINE",PER,,,11,0.00%
,65+ years,65+,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Female,F,16536,2.44%
,65+ years,65+,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Male,M,6582,0.97%
,65+ years,65+,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Unknown,U,429,0.06%
Total,65+ years,65+,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,,,23547,3.47%
,65+ years,65+,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,Female,F,9,0.00%
,65+ years,65+,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,Male,M,5,0.00%
Total,65+ years,65+,"PNEUMOCOCCAL, 10-VALENT VACCINE (SYNFLORIX)",PNC10,,,14,0.00%
,65+ years,65+,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Female,F,6021,0.89%
,65+ years,65+,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Male,M,1824,0.27%
,65+ years,65+,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Unknown,U,108,0.02%
Total,65+ years,65+,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,,,7953,1.17%
,65+ years,65+,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Female,F,103,0.02%
,65+ years,65+,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Male,M,46,0.01%
,65+ years,65+,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Unknown,U,13,0.00%
Total,65+ years,65+,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,,,162,0.02%
,65+ years,65+,POLIOVIRUS VACCINE INACTIVATED,IPV,Female,F,66,0.01%
,65+ years,65+,POLIOVIRUS VACCINE INACTIVATED,IPV,Male,M,47,0.01%
Total,65+ years,65+,POLIOVIRUS VACCINE INACTIVATED,IPV,,,113,0.02%
,65+ years,65+,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Female,F,7,0.00%
,65+ years,65+,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Male,M,3,0.00%
Total,65+ years,65+,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,,,10,0.00%
,65+ years,65+,RABIES VIRUS VACCINE,RAB,Female,F,64,0.01%
,65+ years,65+,RABIES VIRUS VACCINE,RAB,Male,M,40,0.01%
,65+ years,65+,RABIES VIRUS VACCINE,RAB,Unknown,U,1,0.00%
Total,65+ years,65+,RABIES VIRUS VACCINE,RAB,,,105,0.02%
,65+ years,65+,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,Female,F,1,0.00%
Total,65+ years,65+,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,,,1,0.00%
,65+ years,65+,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Female,F,3,0.00%
,65+ years,65+,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Male,M,1,0.00%
Total,65+ years,65+,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,,,4,0.00%
,65+ years,65+,RUBELLA VACCINE,RUB,Female,F,7,0.00%
,65+ years,65+,RUBELLA VACCINE,RUB,Male,M,3,0.00%
Total,65+ years,65+,RUBELLA VACCINE,RUB,,,10,0.00%
,65+ years,65+,SMALLPOX VACCINE,SMALL,Female,F,8,0.00%
,65+ years,65+,SMALLPOX VACCINE,SMALL,Male,M,12,0.00%
Total,65+ years,65+,SMALLPOX VACCINE,SMALL,,,20,0.00%
,65+ years,65+,SUMMER/SPRING ENCEPHALITIS VACCINE (SSE),SSEV,Female,F,1,0.00%
Total,65+ years,65+,SUMMER/SPRING ENCEPHALITIS VACCINE (SSE),SSEV,,,1,0.00%
,65+ years,65+,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Female,F,1675,0.25%
,65+ years,65+,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Male,M,596,0.09%
,65+ years,65+,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Unknown,U,21,0.00%
Total,65+ years,65+,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,,,2292,0.34%
,65+ years,65+,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Female,F,1278,0.19%
,65+ years,65+,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Male,M,332,0.05%
,65+ years,65+,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Unknown,U,22,0.00%
Total,65+ years,65+,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,,,1632,0.24%
,65+ years,65+,TETANUS TOXOID,TTOX,Female,F,229,0.03%
,65+ years,65+,TETANUS TOXOID,TTOX,Male,M,77,0.01%
,65+ years,65+,TETANUS TOXOID,TTOX,Unknown,U,4,0.00%
Total,65+ years,65+,TETANUS TOXOID,TTOX,,,310,0.05%
,65+ years,65+,TYPHOID VACCINE,TYP,Female,F,198,0.03%
,65+ years,65+,TYPHOID VACCINE,TYP,Male,M,117,0.02%
,65+ years,65+,TYPHOID VACCINE,TYP,Unknown,U,2,0.00%
Total,65+ years,65+,TYPHOID VACCINE,TYP,,,317,0.05%
,65+ years,65+,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Female,F,176,0.03%
,65+ years,65+,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Male,M,127,0.02%
,65+ years,65+,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Unknown,U,44,0.01%
Total,65+ years,65+,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,,,347,0.05%
,65+ years,65+,YELLOW FEVER VACCINE,YF,Female,F,123,0.02%
,65+ years,65+,YELLOW FEVER VACCINE,YF,Male,M,110,0.02%
Total,65+ years,65+,YELLOW FEVER VACCINE,YF,,,233,0.03%
,65+ years,65+,ZOSTER VACCINE,VARZOS,Female,F,20341,3.00%
,65+ years,65+,ZOSTER VACCINE,VARZOS,Male,M,7991,1.18%
,65+ years,65+,ZOSTER VACCINE,VARZOS,Unknown,U,495,0.07%
Total,65+ years,65+,ZOSTER VACCINE,VARZOS,,,28827,4.25%
,65+ years,65+,UNKNOWN VACCINES,UNK,Female,F,548,0.08%
,65+ years,65+,UNKNOWN VACCINES,UNK,Male,M,256,0.04%
,65+ years,65+,UNKNOWN VACCINES,UNK,Unknown,U,32,0.00%
Total,65+ years,65+,UNKNOWN VACCINES,UNK,,,836,0.12%
Total,65+ years,65+,,,,,104989,15.48%
,Unknown,U,"ADENOVIRUS TYPE 4 &7 VACCINE, LIVE ORAL",ADEN_4_7,Female,F,7,0.00%
,Unknown,U,"ADENOVIRUS TYPE 4 &7 VACCINE, LIVE ORAL",ADEN_4_7,Male,M,19,0.00%
,Unknown,U,"ADENOVIRUS TYPE 4 &7 VACCINE, LIVE ORAL",ADEN_4_7,Unknown,U,13,0.00%
Total,Unknown,U,"ADENOVIRUS TYPE 4 &7 VACCINE, LIVE ORAL",ADEN_4_7,,,39,0.01%
,Unknown,U,ADENOVIRUS VACCINE LIVE ORAL TYPE 7,ADEN,Male,M,2,0.00%
,Unknown,U,ADENOVIRUS VACCINE LIVE ORAL TYPE 7,ADEN,Unknown,U,1,0.00%
Total,Unknown,U,ADENOVIRUS VACCINE LIVE ORAL TYPE 7,ADEN,,,3,0.00%
,Unknown,U,ANTHRAX VACCINE,ANTH,Female,F,72,0.01%
,Unknown,U,ANTHRAX VACCINE,ANTH,Male,M,172,0.03%
,Unknown,U,ANTHRAX VACCINE,ANTH,Unknown,U,68,0.01%
Total,Unknown,U,ANTHRAX VACCINE,ANTH,,,312,0.05%
,Unknown,U,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Female,F,5,0.00%
,Unknown,U,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Male,M,18,0.00%
,Unknown,U,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Unknown,U,14,0.00%
Total,Unknown,U,BACILLUS CALMETTE-GUERIN VACCINE,BCG,,,37,0.01%
,Unknown,U,CHOLERA VACCINE,CHOL,Female,F,12,0.00%
,Unknown,U,CHOLERA VACCINE,CHOL,Male,M,9,0.00%
,Unknown,U,CHOLERA VACCINE,CHOL,Unknown,U,11,0.00%
Total,Unknown,U,CHOLERA VACCINE,CHOL,,,32,0.00%
,Unknown,U,COMVAX,HBHEPB,Female,F,63,0.01%
,Unknown,U,COMVAX,HBHEPB,Male,M,62,0.01%
,Unknown,U,COMVAX,HBHEPB,Unknown,U,137,0.02%
Total,Unknown,U,COMVAX,HBHEPB,,,262,0.04%
,Unknown,U,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,Female,F,1,0.00%
,Unknown,U,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,Male,M,1,0.00%
,Unknown,U,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,Unknown,U,5,0.00%
Total,Unknown,U,DIPHTHERIA AND TETANUS TOXOIDS ACELLULAR PERTUSSIS POLIOVIRUS INACTIVATED  HAEMOPHILUS INFLUENZA B AND HEPATITIS B VACCINE (HEXAVAX),6VAX-F,,,7,0.00%
,Unknown,U,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Female,F,605,0.09%
,Unknown,U,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Male,M,707,0.10%
,Unknown,U,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Unknown,U,728,0.11%
Total,Unknown,U,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,,,2040,0.30%
,Unknown,U,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Female,F,68,0.01%
